name,time_up,price,year_product,style,status,origin,KM,local,box_car,fuel
Kia Morning   1.0 AT  2011,18/11/2021,265000000,2011,Hatchback,Đã qua sử dụng,Nhập khẩu,10800,Hà Nội,Số tự động,Xăng
Kia Morning  2011,18/11/2021,255000000,2011,Hatchback,Đã qua sử dụng,Nhập khẩu,100000,Thái Nguyên,Số tự động,Xăng
Chevrolet Spark  2018,18/11/2021,225000000,2018,Hatchback,Đã qua sử dụng,Trong nước,75000,Bình Phước,Số tay,Xăng
Hyundai Grand i10  2021,18/11/2021,405000000,2021,Hatchback,Đã qua sử dụng,Trong nước,9000,Nghệ An,Số tự động,Xăng
Toyota Fortuner   2013,18/11/2021,485000000,2013,SUV,Đã qua sử dụng,Trong nước,70000,Tp.HCM,Số tự động,Xăng
Toyota Innova   E   2016,18/11/2021,470000000,2016,MPV,Đã qua sử dụng,Trong nước,90000,Quảng Ngãi,Số tay,Xăng
Kia Cerato   1.6 MT 2018,18/11/2021,440000000,2018,Sedan,Đã qua sử dụng,Nhập khẩu,23000,Quảng Ninh,Số tay,Xăng
Honda City  2021,18/11/2021,599000000,2021,Sedan,Mới,Trong nước,0,Tp.HCM,Số tự động,Xăng
Volvo XC90  2019,18/11/2021,3800000000,2019,SUV,Đã qua sử dụng,Nhập khẩu,11000,Tp.HCM,Số tự động,Xăng
Hyundai Getz  2007,18/11/2021,182000000,2007,Hatchback,Đã qua sử dụng,Nhập khẩu,133215,Hà Nội,Số tự động,Xăng
Toyota Fortuner  2016,18/11/2021,660000000,2016,SUV,Đã qua sử dụng,Trong nước,220000,Hà Nội,Số tay,Diesel
Toyota Vios G 2019,18/11/2021,495000000,2019,Sedan,Đã qua sử dụng,Trong nước,40000,Hà Nội,Số tự động,Xăng
Ford EcoSport     2016,18/11/2021,445000000,2016,SUV,Đã qua sử dụng,Trong nước,36000,Hà Nội,Số tự động,Xăng
Honda CR-V  2015,18/11/2021,689000000,2015,SUV,Đã qua sử dụng,Trong nước,80000,Hà Nội,Số tự động,Xăng
Suzuki Super Carry Van  2015,18/11/2021,160000000,2015,Van/Minivan,Đã qua sử dụng,Trong nước,200000,Hà Nội,Số tay,Xăng
Kia K3  2021,18/11/2021,559000000,2021,Sedan,Mới,Trong nước,0,Hà Nội,Số tự động,Xăng
Nissan Teana AT 2011,18/11/2021,395000000,2011,Sedan,Đã qua sử dụng,Nhập khẩu,145000,Hà Nội,Số tự động,Xăng
Ford Focus AT 2018,18/11/2021,520000000,2018,Hatchback,Đã qua sử dụng,Trong nước,12000,Tp.HCM,Số tự động,Xăng
Toyota Vios   1.5G 2019,18/11/2021,560000000,2019,Sedan,Đã qua sử dụng,Trong nước,99000,Hậu Giang,Số tự động,Xăng
Honda CR-V 2.0AT 2013,18/11/2021,550000000,2013,SUV,Đã qua sử dụng,Trong nước,160000,Tp.HCM,Số tự động,Xăng
Nissan Navara  2021,18/11/2021,748000000,2021,Pick-up Truck,Mới,Nhập khẩu,0,Tp.HCM,Diesel,
Hyundai i20 Active  2016,18/11/2021,410000000,2016,CUV,Đã qua sử dụng,Nhập khẩu,80000,Thái Bình,Số tự động,Xăng
