name,trademark,brand,time_up,price,year_product,style,status,origin,KM,local,box_car,fuel
Mercedes-Benz V220 D 2015,Mercedes-Benz,V220,3/12/2021,1850000000,2015,Van/Minivan,Đã qua sử dụng,Nhập khẩu,50000,Hà Nội,Số tự động,Diesel
Mercedes-Benz V220  2017,Mercedes-Benz,V220,24/10/2021,1580000000,2017,Van/Minivan,Đã qua sử dụng,Trong nước,27000,Tp.HCM,Số tự động,Xăng
Mercedes-Benz V220  2016,Mercedes-Benz,V220,18/10/2021,1599000000,2016,MPV,Đã qua sử dụng,Nhập khẩu,32000,Tp.HCM,Số tự động,Diesel
Mercedes-Benz V220    2017,Mercedes-Benz,V220,9/11/2021,1490000000,2017,Van/Minivan,Đã qua sử dụng,Nhập khẩu,77777,Tp.HCM,Số tự động,Diesel
Mercedes-Benz V220  2016,Mercedes-Benz,V220,4/11/2021,1950000000,2016,MPV,Đã qua sử dụng,Nhập khẩu,20000,Tp.HCM,Số tự động,Diesel
Mercedes-Benz GL 350    2014,Mercedes-Benz,GL 350,9/11/2021,1989000000,2014,SUV,Đã qua sử dụng,Nhập khẩu,52000,Hà Nội,Số tự động,Diesel
Mercedes-Benz GL 350  2009,Mercedes-Benz,GL 350,8/11/2021,1050000000,2009,SUV,Đã qua sử dụng,Nhập khẩu,96000,Hà Nội,Số tự động,Diesel
Mercedes-Benz GL 350  2014,Mercedes-Benz,GL 350,3/11/2021,1990000000,2014,SUV,Đã qua sử dụng,Nhập khẩu,50000,Hà Nội,Số tự động,Diesel
Mercedes-Benz GL 350  2014,Mercedes-Benz,GL 350,3/11/2021,1989000000,2014,SUV,Đã qua sử dụng,Nhập khẩu,52000,Hà Nội,Số tự động,Xăng
Mercedes-Benz GLE 450 4Matic 2021,Mercedes-Benz,GLE 450,2/12/2021,4409000000,2021,SUV,Mới,Nhập khẩu,0,Tp.HCM,Số tự động,Xăng
Mercedes-Benz GLE 450  2021,Mercedes-Benz,GLE 450,1/12/2021,4409000000,2021,SUV,Mới,Nhập khẩu,0,Tp.HCM,Số tự động,Xăng
Mercedes-Benz GLE 450    2020,Mercedes-Benz,GLE 450,21/10/2021,4300000000,2020,SUV,Đã qua sử dụng,Nhập khẩu,12000,Hà Nội,Số tự động,Xăng
Mercedes-Benz GLE 450 Matic 2021,Mercedes-Benz,GLE 450,3/11/2021,4409000000,2021,SUV,Mới,Nhập khẩu,0,Hà Nội,Số tự động,Xăng
Mercedes-Benz GLE 450  2020,Mercedes-Benz,GLE 450,22/10/2021,4350000000,2020,SUV,Đã qua sử dụng,Nhập khẩu,9000,Hà Nội,Số tự động,Xăng
Mercedes-Benz GLE 450  2021,Mercedes-Benz,GLE 450,7/10/2021,4409000000,2021,SUV,Mới,Nhập khẩu,0,Quảng Ninh,Số tự động,Xăng
Mercedes-Benz S350  2008,Mercedes-Benz,S350,18/10/2021,558000000,2008,Sedan,Đã qua sử dụng,Nhập khẩu,115000,Tp.HCM,Số tự động,Xăng
