name,trademark,brand,time_up,price,year_product,style,status,origin,KM,local,box_car,fuel
Mitsubishi Mirage   1.2 CVT 2019,Mitsubishi,Mirage,3/12/2021,375000000,2019,Hatchback,Đã qua sử dụng,Nhập khẩu,30000,Hà Nội,Số tự động,Xăng
Mitsubishi Mirage   1.2 AT  2016,Mitsubishi,Mirage,28/11/2021,276000000,2016,Hatchback,Đã qua sử dụng,Nhập khẩu,113000,Tp.HCM,Số tự động,Xăng
Mitsubishi Mirage   1.2 MT  2015,Mitsubishi,Mirage,27/11/2021,205000000,2015,Hatchback,Đã qua sử dụng,Nhập khẩu,12000,Đắk Lắk,Số tay,Xăng
Mitsubishi Mirage   1.2CVT  2017,Mitsubishi,Mirage,26/11/2021,335000000,2017,Hatchback,Đã qua sử dụng,Nhập khẩu,40000,Hà Nội,Số tự động,Xăng
Mitsubishi Mirage  1.2MT 2016,Mitsubishi,Mirage,25/11/2021,235000000,2016,Hatchback,Đã qua sử dụng,Nhập khẩu,60000,Hà Nội,Số tay,Xăng
Mitsubishi Mirage  2015,Mitsubishi,Mirage,24/11/2021,218000000,2015,Hatchback,Đã qua sử dụng,Nhập khẩu,60000,Tp.HCM,Số tay,Xăng
Mitsubishi Mirage  2019,Mitsubishi,Mirage,23/11/2021,359000000,2019,Hatchback,Đã qua sử dụng,Trong nước,32000,Tp.HCM,Số tự động,Xăng
Mitsubishi Mirage   CVT  2019,Mitsubishi,Mirage,18/11/2021,380000000,2019,Hatchback,Đã qua sử dụng,Nhập khẩu,23000,Tp.HCM,Số tự động,Xăng
Mitsubishi Mirage   1.2AT   2019,Mitsubishi,Mirage,17/11/2021,359000000,2019,Hatchback,Đã qua sử dụng,Trong nước,32000,Tp.HCM,Số tự động,Xăng
Mitsubishi Mirage  CVT   2019,Mitsubishi,Mirage,17/11/2021,359000000,2019,Hatchback,Đã qua sử dụng,Nhập khẩu,32000,Tp.HCM,Số tự động,Xăng
Mitsubishi Mirage  2014,Mitsubishi,Mirage,11/11/2021,250000000,2014,Hatchback,Đã qua sử dụng,Nhập khẩu,40000,Nam Định,Số tự động,Xăng
Mitsubishi Mirage  2014,Mitsubishi,Mirage,11/11/2021,228000000,2014,Hatchback,Đã qua sử dụng,Nhập khẩu,65000,Hà Nội,Số tay,Xăng
Mitsubishi Mirage   2015,Mitsubishi,Mirage,10/11/2021,185000000,2015,Hatchback,Đã qua sử dụng,Nhập khẩu,139000,Hậu Giang,Số tay,Xăng
Mitsubishi Mirage  1.2 MT 2016,Mitsubishi,Mirage,10/11/2021,219000000,2016,Hatchback,Đã qua sử dụng,Nhập khẩu,50000,Tp.HCM,Số tay,Xăng
Mitsubishi Mirage  2018,Mitsubishi,Mirage,9/11/2021,300000000,2018,Hatchback,Đã qua sử dụng,Nhập khẩu,40000,Vĩnh Phúc,Số tự động,Xăng
