name,trademark,brand,time_up,price,year_product,style,status,origin,KM,local,box_car,fuel
Honda Accord  2016,Honda,Accord,29/11/2021,805000000,2016,Sedan,Đã qua sử dụng,Nhập khẩu,63300,Tp.HCM,Số tự động,Xăng
Honda Accord  2008,Honda,Accord,29/11/2021,410000000,2008,Sedan,Đã qua sử dụng,Nhập khẩu,91634,Hà Nam,Số tự động,Xăng
Honda Accord   2.4 AT 2007,Honda,Accord,29/11/2021,400000000,2007,Sedan,Đã qua sử dụng,Nhập khẩu,100000,Đồng Nai,Số tự động,Xăng
Honda Accord   2.4 AT  2014,Honda,Accord,22/11/2021,720000000,2014,Sedan,Đã qua sử dụng,Nhập khẩu,90000,Hà Nội,Số tự động,Xăng
Honda Accord  2021,Honda,Accord,29/11/2021,1319000000,2021,Sedan,Mới,Nhập khẩu,0,Tp.HCM,Số tự động,Xăng
Honda Accord  1995,Honda,Accord,29/11/2021,12000000,1995,Sedan,Đã qua sử dụng,Nhập khẩu,150000,Đồng Nai,Số tự động,Xăng
Honda Accord  1991,Honda,Accord,30/11/2021,90000000,1991,Sedan,Đã qua sử dụng,Nhập khẩu,99999,Đồng Nai,Số tay,Xăng
Honda Brio  2021,Honda,Brio,30/11/2021,448000000,2021,Hatchback,Mới,Nhập khẩu,0,Kiên Giang,Số tự động,Xăng
Honda Brio  2021,Honda,Brio,29/11/2021,448000000,2021,Hatchback,Mới,Nhập khẩu,0,Hà Nội,Số tự động,Xăng
Honda Brio  2019,Honda,Brio,30/11/2021,390000000,2019,Hatchback,Đã qua sử dụng,Nhập khẩu,27000,Bình Dương,Số tự động,Xăng
Honda Brio   RS 2019,Honda,Brio,29/11/2021,415000000,2019,Hatchback,Đã qua sử dụng,Nhập khẩu,37000,Hà Nội,Số tự động,Xăng
Honda Brio  2021,Honda,Brio,28/11/2021,450000000,2021,Hatchback,Mới,Nhập khẩu,0,Hà Nội,Số tự động,Xăng
Honda Brio  2021,Honda,Brio,30/11/2021,448000000,2021,Hatchback,Mới,Nhập khẩu,0,Khánh Hòa,Số tự động,Xăng
Honda Brio  2021,Honda,Brio,30/11/2021,448000000,2021,Hatchback,Mới,Nhập khẩu,0,Tp.HCM,Số tự động,Xăng
Honda Brio  2021,Honda,Brio,30/11/2021,418000000,2021,Hatchback,Mới,Nhập khẩu,0,Tp.HCM,Số tự động,Xăng
Honda Brio RS 2021,Honda,Brio,30/11/2021,452000000,2021,Hatchback,Mới,Nhập khẩu,0,Tp.HCM,Số tự động,Xăng
Honda Brio  2021,Honda,Brio,30/11/2021,448000000,2021,Hatchback,Mới,Nhập khẩu,0,Đà Nẵng,Số tự động,Xăng
Honda Brio RS 2021,Honda,Brio,30/11/2021,435000000,2021,Hatchback,Đã qua sử dụng,Nhập khẩu,10000,Bình Dương,Số tự động,Xăng
