name,trademark,brand,time_up,price,year_product,style,status,origin,KM,local,box_car,fuel
Toyota Starlet   1986,Toyota,Starlet,21-10-21,55000000,1986,Wagon,Đã qua sử dụng,Nhập khẩu,313931,Tp.HCM,Số tay,Xăng
Toyota Starlet  1992,Toyota,Starlet,23-11-21,39000000,1992,Sedan,Đã qua sử dụng,Nhập khẩu,20000,Lâm Đồng,Số tay,Xăng
Toyota Liteace  1984,Toyota,Liteace,11-11-21,35000000,1984,Van/Minivan,Đã qua sử dụng,Nhập khẩu,120000,Cần Thơ,Số tay,Xăng
Toyota Sequoia 4.7 AT 2004,Toyota,Sequoia,17-11-21,799000000,2004,SUV,Đã qua sử dụng,Nhập khẩu,100000,Hà Nội,Số tự động,Xăng
Toyota Tundra   2015,Toyota,Tundra,30-11-21,2690000000,2015,Pick-up Truck,Đã qua sử dụng,Nhập khẩu,46000,Tp.HCM,Số tự động,Xăng
VinFast LUX SA2.0  2021,VinFast,LUX SA2.0,05-12-21,826000000,2021,SUV,Mới,Trong nước,0,Hà Nội,Số tự động,
VinFast LUX SA2.0  2021,VinFast,LUX SA2.0,05-12-21,826000000,2021,SUV,Mới,Trong nước,0,Hà Nội,Số tự động,Xăng
VinFast LUX SA2.0  2021,VinFast,LUX SA2.0,05-12-21,826000000,2021,SUV,Mới,Trong nước,0,Bình Dương,Số tự động,Xăng
VinFast LUX SA2.0  2021,VinFast,LUX SA2.0,04-12-21,826000000,2021,SUV,Mới,Trong nước,0,Vĩnh Phúc,Số tự động,Xăng
VinFast LUX SA2.0  2021,VinFast,LUX SA2.0,04-12-21,826000000,2021,SUV,Mới,Trong nước,0,Hà Nội,Số tự động,Xăng
VinFast LUX SA2.0  2021,VinFast,LUX SA2.0,04-12-21,826000000,2021,SUV,Mới,Trong nước,0,Hà Nội,Số tự động,Xăng
VinFast LUX SA2.0  2021,VinFast,LUX SA2.0,04-12-21,826000000,2021,SUV,Mới,Trong nước,0,Hà Nội,Số tự động,Xăng
VinFast LUX SA2.0  2021,VinFast,LUX SA2.0,04-12-21,1026000000,2021,SUV,Mới,Trong nước,0,Vĩnh Phúc,Số tự động,Xăng
VinFast LUX SA2.0  2021,VinFast,LUX SA2.0,06-12-21,826000000,2021,SUV,Mới,Trong nước,0,Lào Cai,Số tự động,Xăng
VinFast LUX SA2.0  2021,VinFast,LUX SA2.0,06-12-21,1026000000,2021,SUV,Mới,Trong nước,0,Bình Phước,Số tự động,Xăng
VinFast LUX SA2.0  2021,VinFast,LUX SA2.0,05-12-21,1026000000,2021,SUV,Mới,Trong nước,0,Kon Tum,Số tự động,Xăng
VinFast LUX SA2.0  2021,VinFast,LUX SA2.0,05-12-21,1026000000,2021,SUV,Mới,Trong nước,0,Sơn La,Số tự động,Xăng
VinFast LUX SA2.0  2021,VinFast,LUX SA2.0,05-12-21,826000000,2021,SUV,Mới,Trong nước,0,Tp.HCM,Số tự động,Xăng
VinFast LUX SA2.0  2021,VinFast,LUX SA2.0,05-12-21,826000000,2021,SUV,Mới,Trong nước,0,Hà Nội,Số tự động,Xăng
VinFast LUX SA2.0  2021,VinFast,LUX SA2.0,05-12-21,826000000,2021,SUV,Mới,Trong nước,0,Nghệ An,Số tự động,Xăng
VinFast LUX SA2.0  2021,VinFast,LUX SA2.0,04-12-21,826000000,2021,SUV,Mới,Trong nước,0,Hà Nội,Số tự động,Xăng
